"name","class","subclass","defense","defense_upgrade_lvl1","defense_upgrade_lvl2","defense_upgrade_lvl3","defense_upgrade_lvl4","description","selling_price","bonus_set","upgrade_1","upgrade_2","upgrade_3","upgrade_4","where_to_find"
"Ancient Cuirass","Armor","Body",4,7,12,18,28,"This armor was created by ancient Sheikah technology using Guardian parts. Equipping it will reduce the damage you take from ancient weaponry.",125,"Ancient Proficiency","Ancient Screw x5, Ancient Spring x5","Ancient Spring x15, Ancient Gear x10","Ancient Shaft x15, Ancient Core x5","Star Fragment x1, Giant Ancient Core x2","Akkala Ancient Tech Lab"
"Barbarian Armor","Armor","Body",3,4,8,12,20,"Armor once favored by an ancient warlike tribe from the Faron region. The war paint bolsters your fighting spirit and raises your attack power.",600,"Charge Attack Stamina","Lynel Horn x1","Lynel Horn x3, Lynel Hoof x2","Lynel Hoof x4, Lynel Guts x1","Lynel Guts x2, Shard of Dinraal's Horn x1","Shrine - Dila Maag"
"Champion's Tunic","Armor","Body",5,8,14,22,32,"In ancient Hyrule, this garment could only be worn by one who had earned the respect of the royal family. Equipping it will reveal an enemy's life gauge.",NULL,NULL,"Silent Princess x3","Silent Princess x3, Shard of Farosh's Horn x2","Silent Princess x3, Shard of Naydra's Horn x2","Silent Princess x10, Shard of Dinraal's Horn x2","Impa/Kakariko Village"
"Climbing Gear","Armor","Body",3,5,8,12,20,"The ancient technology in this gear will make you a better climber. The special no-slip gloves help you use your energy more efficiently to facilitate nimble climbing.",600,"Climb Stamina","Keese Wing x3, Rushroom x3","Electric Keese Wing x5, Hightail Lizard x5","Ice Keese Wing x5, Hot-Footed Frog x10","Fire Keese Wing x5, Swift Violet x15","Shrine - Chaas Qeta"
"Dark Tunic","Armor","Body",3,NULL,NULL,NULL,NULL,"Kilton developed this jet-black armor as a result of his monster research. A spurious replica of the green outfit once worn by a legendary hero.",9,"Night Speed",NULL,NULL,NULL,NULL,"Kilton's Shop"
"Desert Voe Spaulder","Armor","Body",3,5,8,12,20,"Armor for males sold rarely by Gerudo retailers. It contains sapphire, which harnesses the power of ice to make hot climates more tolerable.",325,"Shock Resist","White Chuchu Jelly x3","White Chuchu Jelly x5, Ice keese Wing x3","Ice Keese Wing x8, Icy Lizalfos Tail x3 ","Icy Lizalfos Tail x10, Sapphire x5","GSC or Tarrey Town"
"Fierce Deity Armor","Armor","Body",3,5,8,12,20,"Legend has it this armor once belonged to the hero of a world in which the moon threatened to fall. When you wear it, you feel a fierce, godlike power flow through you.",125,"Charge Attack Stamina","Hinox Toenail x5, Naydra's Scale x1","Hinox Tooth x5, Naydra's Claw x1","Hinox Guts x5, Shard of Naydra's Fang x1","Lynel Guts x5, Shard of Naydra's Horn x1","Amiibo -"
"Flamebreaker Armor","Armor","Body",3,5,8,12,20,"Armor crafted by Gorons for Hylians curious enough to visit Goron City. It's made from fire-resistant rocks to protect the wearer.",150,"Fireproof","Fireproof Lizard x1, Moblin Horn x2","Fireproof Lizard x3, Moblin Fang x4","Smotherwing Butterfly x3, Moblin Guts x3","Smotherwing Butterfly x5, Hinox Guts x2","Goron City"
"Gerudo Top","Armor","Body",1,NULL,NULL,NULL,NULL,"Standard Gerudo garb popular for its open, breathable design and for the traditional Gerudo markings that adorn it.",45,"Heat Resist",NULL,NULL,NULL,NULL,"Tranny in Desert Oasis"
"Hylian Tunic","Armor","Body",3,5,8,12,20,"A common garb that achieved widespread popularity in Hyrule, particularly among travelers. Its light-yet-sturdy fabric doesn't limit movement.",30,NULL,"Bokoblin Horn x5","Bokoblin Horn x8, Bokoblin Fang x5","Bokoblin Fang x10, Bokoblin Guts x5","Bokoblin Guts x15, Amber x15","Hateno Village"
"Nintendo Switch Shirt","Armor","Body",1,NULL,NULL,NULL,NULL,"Expansion Pass Bonus A shirt with the Nintendo Switch logo on it. It's a rare article, if you sell it, you can't get it back, so wear it with pride!",NULL,NULL,NULL,NULL,NULL,NULL,NULL
