name,class,subclass,durability,strength,description
Ancient Short Sword,Weapon,Light,54,40,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords."
Blizzard Rod,Weapon,Light,32,10,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.
Boko Club,Weapon,Light,8,4,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low."
Bokoblin Arm,Weapon,Light,5,5,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break."
Boomerang,Weapon,Light,18,8,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.
Demon Carver,Weapon,Light,25,40,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.
Dragonbone Boko Club,Weapon,Light,18,24,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.
Eightfold Blade,Weapon,Light,26,15,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.
Fire Rod,Weapon,Light,14,5,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely."
Fishing Harpoon,Weapon,Light,12,8,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.
Flameblade,Weapon,Light,36,24,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.
Forest Dweller's Sword,Weapon,Light,27,22,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests."
Frostblade,Weapon,Light,30,20,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen."
Gerudo Scimitar,Weapon,Light,23,16,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized."
Goddess Sword,Weapon,Light,45,28,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you."
Guardian Sword,Weapon,Light,17,20,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.
Guardian Sword+,Weapon,Light,26,30,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick."
Guardian Sword++,Weapon,Light,32,40,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!"
Ice Rod,Weapon,Light,14,5,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.
Knight's Broadsword,Weapon,Light,27,26,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.
Lightning Rod,Weapon,Light,14,5,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.
Lizal Boomerang,Weapon,Light,17,14,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.
Lizal Forked Boomerang,Weapon,Light,25,24,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown."
Lizal Tri-Boomerang,Weapon,Light,27,36,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle."
Lizalfos Arm,Weapon,Light,8,12,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back..."
Lynel Sword,Weapon,Light,26,24,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong."
Master Sword,Weapon,Light,,30,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.
Meteor Rod,Weapon,Light,32,10,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!"
Mighty Lynel Sword,Weapon,Light,32,36,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.
Moonlight Scimitar,Weapon,Light,32,25,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.
